Бюджет;Дата проводки;КФСР;КЦСР;КВР;КОСГУ;Код субсидии;Отраслевой код;КВФО;Организация;Орган, предоставляющий субсидии;Выплаты с учетом возврата;Выплаты - Исполнение;Выплаты - Восстановление выплат - год
Бюджет г. Тынды;20.08.2025;0409;0220197003;243;225;2222097003;00000000000000000;5;"МБУ Г. ТЫНДЫ ""УПРАВЛЕНИЕ ЕДИНОГО ЗАКАЗЧИКА""";АДМИНИСТРАЦИЯ ГОРОДА ТЫНДЫ;44 622 636,12;44 622 636,12;
Бюджет г. Тынды;13.10.2025;0409;0220197003;243;225;2222097003;00000000000000000;5;"МБУ Г. ТЫНДЫ ""УПРАВЛЕНИЕ ЕДИНОГО ЗАКАЗЧИКА""";АДМИНИСТРАЦИЯ ГОРОДА ТЫНДЫ;1 417 897,48;1 417 897,48;
Итого;;;;;;;;;;;46 040 533,60;46 040 533,60;0,00
