министерство финансов Амурской области;;;;;;;;;;;;;;;;;;;;;
(наименование органа, исполняющего бюджет);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 на 01.03.2025 г.;;;;;;;;;;;;;;;;;;;;;
Дата печати 09.04.2026 (17:27:07);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Бюджет: Консолидированный;;;;;;;;;;;;;;;;;;;;;
КЦСР: *****975**,*****6105*,*****970**;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
руб.;;;;;;;;;;;;;;;;;;;;;
Бюджет;Дата проводки;КФСР;Наименование КФСР;КЦСР;Наименование КЦСР;КВР;Наименование КВР;КВСР;Наименование КВСР;КОСГУ;Наименование КОСГУ;Код цели;Наименование Код цели;КВФО;Наименование КВФО;Источник средств;Лимиты ПБС 2025 год;Подтв. лимитов по БО 2025 год;Подтв. лимитов без БО 2025 год;Остаток лимитов 2025 год;Всего выбытий (бух.уч.)
Областной бюджет Амурской области;01.01.2025;05.02;Коммунальное хозяйство;05.2.01.97002;Реализация мероприятий в сфере коммунальной инфраструктуры и благоустройства территорий, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.4.0;Иные межбюджетные трансферты;911;Министерство жилищно-коммунального хозяйства Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;10 000 000,00;0,00;0,00;10 000 000,00;0,00
Областной бюджет Амурской области;01.01.2025;05.03;Благоустройство;05.2.01.97002;Реализация мероприятий в сфере коммунальной инфраструктуры и благоустройства территорий, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.0.0;Межбюджетные трансферты;911;Министерство жилищно-коммунального хозяйства Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;67 437 662,85;0,00
Областной бюджет Амурской области;01.01.2025;05.03;Благоустройство;05.2.01.97002;Реализация мероприятий в сфере коммунальной инфраструктуры и благоустройства территорий, одобренных Президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.4.0;Иные межбюджетные трансферты;911;Министерство жилищно-коммунального хозяйства Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;67 437 662,85;0,00;0,00;67 437 662,85;0,00
Областной бюджет Амурской области;01.01.2025;07.03;Дополнительное образование детей;03.2.04.97005;Реализация мероприятий в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.0.0;Капитальные вложения в объекты государственной (муниципальной) собственности;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;31 567 192,00;0,00
Областной бюджет Амурской области;01.01.2025;07.03;Дополнительное образование детей;03.2.04.97005;Реализация мероприятий в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.6.4;Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;31 567 192,00;0,00;0,00;31 567 192,00;0,00
Областной бюджет Амурской области;24.01.2025;07.03;Дополнительное образование детей;03.2.04.97005;Реализация мероприятий в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.0.0;Капитальные вложения в объекты государственной (муниципальной) собственности;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;-31 567 192,00;0,00
Областной бюджет Амурской области;24.01.2025;07.03;Дополнительное образование детей;03.2.04.97005;Реализация мероприятий в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.0.0;Капитальные вложения в объекты государственной (муниципальной) собственности;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;972310002005;"Выполнение инженерных изысканий и разработка проектной документации по объекту ""Строительство детской школы искусств г. Благовещенск Амурской области""";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;31 567 192,00;0,00
Областной бюджет Амурской области;24.01.2025;07.03;Дополнительное образование детей;03.2.04.97005;Реализация мероприятий в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.6.4;Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;-31 567 192,00;0,00;0,00;-31 567 192,00;0,00
Областной бюджет Амурской области;24.01.2025;07.03;Дополнительное образование детей;03.2.04.97005;Реализация мероприятий в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.6.4;Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;972310002005;"Выполнение инженерных изысканий и разработка проектной документации по объекту ""Строительство детской школы искусств г. Благовещенск Амурской области""";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;31 567 192,00;0,00;0,00;31 567 192,00;0,00
Областной бюджет Амурской области;19.02.2025;07.03;Дополнительное образование детей;03.2.04.97005;Реализация мероприятий в сфере культуры, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.6.4;Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;972310002005;"Выполнение инженерных изысканий и разработка проектной документации по объекту ""Строительство детской школы искусств г. Благовещенск Амурской области""";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;1 667 192,00;0,00;-1 667 192,00;0,00
Областной бюджет Амурской области;01.01.2025;08.01;Культура;03.2.04.97001;Реализация мероприятий в социальной сфере, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.0.0;Капитальные вложения в объекты государственной (муниципальной) собственности;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;31 743 501,05;0,00
Областной бюджет Амурской области;01.01.2025;08.01;Культура;03.2.04.97001;Реализация мероприятий в социальной сфере, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.6.4;Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;31 743 501,05;0,00;0,00;31 743 501,05;0,00
Областной бюджет Амурской области;24.01.2025;08.01;Культура;03.2.04.97001;Реализация мероприятий в социальной сфере, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.0.0;Капитальные вложения в объекты государственной (муниципальной) собственности;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;-31 743 501,05;0,00
Областной бюджет Амурской области;24.01.2025;08.01;Культура;03.2.04.97001;Реализация мероприятий в социальной сфере, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.0.0;Капитальные вложения в объекты государственной (муниципальной) собственности;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;972310002006;Проведение изысканий и разработка проектно-сметной документации для Креативного кластера;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;0,00;0,00;0,00;31 743 501,05;0,00
Областной бюджет Амурской области;24.01.2025;08.01;Культура;03.2.04.97001;Реализация мероприятий в социальной сфере, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.6.4;Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;-31 743 501,05;0,00;0,00;-31 743 501,05;0,00
Областной бюджет Амурской области;24.01.2025;08.01;Культура;03.2.04.97001;Реализация мероприятий в социальной сфере, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;4.6.4;Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;938;Министерство строительства и архитектуры Амурской области;0.0.0;НЕ УКАЗАНО;972310002006;Проведение изысканий и разработка проектно-сметной документации для Креативного кластера;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Федеральные средства;31 743 501,05;0,00;0,00;31 743 501,05;0,00
Итого;;;;;;;;;;;;;;;;;3 424 133 422,23;135 419 341,85;0,00;6 712 847 502,61;0,00
